recipe_urls,recipe_name,prep_time,cooking_time,total_time,recipe_servings,recipe_yield,r_ingrids,r_direction,r_nutrition_info
https://www.allrecipes.com/recipe/228498/slow-cooker-baby-back-ribs/,Slow Cooker Baby Back Ribs,10 mins,4 hrs 10 mins,4 hrs 20 mins,6,6 servings,"['3 pounds baby back ribs, trimmed', 'salt and ground black pepper, to taste', '½ cup water', '½ onion, sliced', '1 clove garlic, minced', '1 (18 ounce) bottle barbeque sauce']","['1   Season ribs with salt and pepper.', '2   Pour water into slow cooker. Layer the ribs into the slow cooker. Top the ribs with onion and garlic.', '3   Cook on High for 4 hours (or Low for 8 hours).', '4   Preheat oven to 375 degrees F (190 degrees C).', '5   Transfer ribs to a baking sheet. Discard onion and garlic. Coat ribs with barbeque sauce.', '6   Bake in preheated oven until the sauce caramelizes and sticks to the meat, 10 to 15 minutes.']",['Per Serving:  501 calories; protein 24.3g; carbohydrates 32.4g; fat 29.6g; cholesterol 117mg; sodium 1067.4mg.']
https://www.allrecipes.com/recipe/274464/slow-cooker-mediterranean-chicken-and-vegetables/,Slow Cooker Mediterranean Chicken and Vegetables,30 mins,5 hrs 20 mins,6 hrs 25 mins,8,8 servings,"['1 teaspoon ground turmeric', '1 teaspoon ground ginger', '1 teaspoon ground coriander', '1 teaspoon salt', '¼ teaspoon ground cumin', '¼ teaspoon cayenne pepper', '8 bone-in chicken thighs, skin removed', '1 (15 ounce) can chickpeas, drained', '1 (14.5 ounce) can diced tomatoes, undrained', '12 marinated artichoke hearts, drained', '4 large carrots, chopped', '4 large garlic cloves, halved', '1 (3 inch) piece cinnamon stick', '1 tablespoon olive oil, or more as needed', '1 large sweet onion, halved and thinly sliced', '½ pound green beans, trimmed and halved', '1 red bell pepper, seeded and cut into 1-inch pieces', '¼ cup coarsely chopped cilantro', '3 cups water', '2 cups couscous']","['1   Combine turmeric, ginger, coriander, salt, cumin, and cayenne pepper in a small cup. Rub mixture over chicken and let sit at least 30 minutes.', '2   Combine chickpeas, diced tomatoes, artichoke hearts, carrots, garlic, and cinnamon stick in the bottom of a 6- to 7-quart slow cooker.', '3   Heat olive oil in a large nonstick skillet over medium-high heat. Add chicken and brown, about 4 minutes per side. Transfer chicken to the slow cooker, bone-side-up. Add onion to the same skillet. Saute over medium-high heat until onions have taken on a yellow color from turmeric and are starting to brown on the edges, about 5 minutes. Transfer to the slow cooker.', '4   Cover the slow cooker and cook on Low for approximately 2 hours.', '5   Place green beans and bell pepper over chicken. Cover and cook approximately 3 hours more.', '6   Meanwhile, boil 3 cups of water in a saucepan. Add couscous and stir. Cover the pot and turn off the heat. Let sit until water is absorbed and couscous is tender, 5 to 10 minutes.', '7   Place hot couscous on each plate and top with chicken and vegetables. Spoon juices from the slow cooker over each serving.']",['Per Serving:  465 calories; protein 29.8g; carbohydrates 57.3g; fat 13g; cholesterol 70.3mg; sodium 733.9mg.']
https://www.allrecipes.com/recipe/256825/warm-berry-compote/,Warm Berry Compote,10 mins,1 hr 35 mins,1 hr 45 mins,6,6 servings,"['6 cups frozen mixed berries', '½ cup white sugar', '1 ½ teaspoons finely grated orange zest', '¼ cup orange juice', '2 tablespoons cornstarch', '2 tablespoons water']","['1   Stir together berries, sugar, zest, and juice in a slow cooker. Cook on High until bubbling, about 1 1/2 hours.', '2   Stir together cornstarch and water in a cup until fully dissolved. Stir into berry mixture. Cook, covered, until thickened, 5 to 10 minutes more. Serve warm or room temperature.']",['Per Serving:  140 calories; protein 1.1g; carbohydrates 37.3g; fat 0.5g; sodium 0.4mg.']
https://www.allrecipes.com/recipe/8941/slow-cooker-chicken-and-dumplings/,Slow Cooker Chicken and Dumplings,10 mins,6 hrs,6 hrs 10 mins,8,8 servings,"['4 skinless, boneless chicken breast halves', '2 tablespoons butter', '2 (10.75 ounce) cans condensed cream of chicken soup', '1 onion, finely diced', '2 (10 ounce) packages refrigerated biscuit dough, torn into pieces']","['1   Place the chicken, butter, soup, and onion in a slow cooker, and fill with enough water to cover.', '2   Cover, and cook for 5 to 6 hours on High. About 30 minutes before serving, place the torn biscuit dough in the slow cooker. Cook until the dough is no longer raw in the center.']",['Per Serving:  385 calories; protein 18.1g; carbohydrates 37g; fat 18g; cholesterol 44.8mg; sodium 1244.6mg.']
https://www.allrecipes.com/recipe/92462/slow-cooker-texas-pulled-pork/,Slow Cooker Texas Pulled Pork,15 mins,5 hrs,5 hrs 15 mins,8,8 sandwiches,"['1 teaspoon vegetable oil', '1 (4 pound) pork shoulder roast', '1 cup barbeque sauce', '½ cup apple cider vinegar', '½ cup chicken broth', '¼ cup light brown sugar', '1 tablespoon prepared yellow mustard', '1 tablespoon Worcestershire sauce', '1 tablespoon chili powder', '1 extra large onion, chopped', '2 large cloves garlic, crushed', '1 ½ teaspoons dried thyme', '8 hamburger buns, split', '2 tablespoons butter, or as needed']","['1   Pour the vegetable oil into the bottom of a slow cooker. Place the pork roast into the slow cooker; pour in the barbecue sauce, apple cider vinegar, and chicken broth. Stir in the brown sugar, yellow mustard, Worcestershire sauce, chili powder, onion, garlic, and thyme. Cover and cook on High until the roast shreds easily with a fork, 5 to 6 hours.', '2   Remove the roast from the slow cooker, and shred the meat using two forks. Return the shredded pork to the slow cooker, and stir the meat into the juices.', '3   Spread the inside of both halves of hamburger buns with butter. Toast the buns, butter side down, in a skillet over medium heat until golden brown. Spoon pork into the toasted buns.']",['Per Serving:  528 calories; protein 31.9g; carbohydrates 45.5g; fat 23.2g; cholesterol 98.4mg; sodium 802.7mg.']
https://www.allrecipes.com/recipe/223381/melt-in-your-mouth-meat-loaf/,Melt-In-Your-Mouth Meat Loaf,15 mins,5 hrs 15 mins,5 hrs 40 mins,6,6 servings,"['2 eggs', '¾ cup milk', '⅔ cup seasoned bread crumbs', '2 teaspoons dried minced onion', '1 teaspoon salt', '½ teaspoon rubbed sage', '½ cup sliced fresh mushrooms', '1 ½ pounds ground beef', '¼ cup ketchup', '2 tablespoons brown sugar', '1 teaspoon ground mustard', '½ teaspoon Worcestershire sauce']","['1   Combine eggs, milk, bread crumbs, onion, salt, sage, and mushrooms in a large bowl. Crumble ground beef over mixture and stir well to combine. Shape into a round loaf; place in a 5-quart slow cooker. Cover and cook on Low until a meat thermometer reads 160 degrees F (71 degrees C), 5 to 6 hours.', '2   Whisk ketchup, brown sugar, mustard, and Worcestershire sauce in a small bowl; spoon sauce over meat loaf. Return to slow cooker and cook on Low until heated through, about 15 minutes. Let stand 10 minutes before cutting.']",['Per Serving:  328 calories; protein 24.7g; carbohydrates 18.4g; fat 16.9g; cholesterol 135.6mg; sodium 841.1mg.']
https://www.allrecipes.com/recipe/159881/slow-cooker-machaca/,Slow Cooker Machaca,5 mins,12 hrs,12 hrs 5 mins,10,10 servings,"['3 pounds beef rump roast', '3 pounds pork loin roast', '2 teaspoons salt', '1 teaspoon ground black pepper', '2 (14.5 ounce) cans green enchilada sauce', '2 (4 ounce) cans diced green chiles']","['1   Season beef roast and pork loin with the salt and pepper. Place seasoned beef and pork in a slow cooker.', '2   Set slow cooker to Low. Cover, and cook overnight or 8 to 10 hours. Drain the juices and shred the meat into strands. Return the meat to the slow cooker; pour the enchilada sauce and green chiles in with the shredded meat and cook on Low another 4 to 8 hours.']",['Per Serving:  563 calories; protein 57.3g; carbohydrates 6.9g; fat 32.5g; cholesterol 170.1mg; sodium 1073.7mg.']
https://www.allrecipes.com/recipe/280021/slow-cooker-french-onion-pork-chops/,Slow Cooker French Onion Pork Chops,10 mins,8 hrs 15 mins,8 hrs 25 mins,5,5 servings,"['nonstick cooking spray', '5 (6 ounce) pork chops', '1 pinch garlic salt, or to taste', '1 (18.5 ounce) can French onion soup (such as Progresso®)', '1 (8 ounce) container light sour cream', '2 tablespoons all-purpose flour']","['1   Spray a skillet with cooking spray and heat over medium-high heat. Quickly brown pork chops in the skillet, seasoning with garlic salt, 5 to 7 minutes total. Transfer to a slow cooker and pour French onion soup on top.', '2   Cover and cook on Low for 8 hours.', '3   Remove the chops and keep warm. Add sour cream and flour to the slow cooker, mix well, and warm until slightly thickened, 10 to 15 minutes. Serve sauce over the chops.']",['Per Serving:  358 calories; protein 38.7g; carbohydrates 8g; fat 17.9g; cholesterol 133.7mg; sodium 553.2mg.']
https://www.allrecipes.com/recipe/241601/sesame-chicken-for-slow-cooker/,Sesame Chicken for Slow Cooker,,,,4,4 servings,"['1 ½ pounds skinless, boneless chicken breast halves', '½ cup honey', '¼ cup soy sauce', '2 tablespoons ketchup', '2 tablespoons dried minced onion', '1 tablespoon vegetable oil', '½ teaspoon garlic powder', '2 teaspoons cornstarch', '3 tablespoons water', 'sesame seeds, or to taste']","['1   Spread chicken into the crock of a slow cooker.', '2   Stir honey, soy sauce, ketchup, minced onion, vegetable oil, and garlic powder together in a bowl; pour over the chicken.', '3   Cook on Low until the chicken is tender, 3 to 4 hours.', '4   Remove chicken from the sauce in the slow cooker to a cutting board. Stir water and cornstarch together to dissolve cornstarch completely; pour into the sauce in the slow cooker until smooth.', '5   Cook on High until slightly thickened, about 10 minutes.', '6   Cut chicken into bite-size pieces and stir into the sauce. Sprinkle sesame seeds over the chicken and sauce mixture.']",['Per Serving:  364 calories; protein 34.7g; carbohydrates 41.1g; fat 7.3g; cholesterol 87.8mg; sodium 1060mg.']
https://www.allrecipes.com/recipe/14685/slow-cooker-beef-stew-i/,Slow Cooker Beef Stew I,20 mins,12 hrs,12 hrs 20 mins,6,6 servings,"['2 pounds beef stew meat, cut into 1-inch pieces', '¼ cup all-purpose flour', '½ teaspoon salt', '½ teaspoon ground black pepper', '1 clove garlic, minced', '1 bay leaf', '1 teaspoon paprika', '1 teaspoon Worcestershire sauce', '1 onion, chopped', '1 ½ cups beef broth', '3 potatoes, diced', '4 carrots, sliced', '1 stalk celery, chopped']","['1   Place meat in slow cooker. In a small bowl mix together the flour, salt, and pepper; pour over meat, and stir to coat meat with flour mixture. Stir in the garlic, bay leaf, paprika, Worcestershire sauce, onion, beef broth, potatoes, carrots, and celery.', '2   Cover, and cook on Low setting for 10 to 12 hours, or on High setting for 4 to 6 hours.']",['Per Serving:  576 calories; protein 44.1g; carbohydrates 29.8g; fat 30.3g; cholesterol 131.5mg; sodium 541.5mg.']
https://www.allrecipes.com/recipe/220268/slow-cooker-cream-of-broccoli-soup/,Slow Cooker Cream of Broccoli Soup,10 mins,3 hrs 5 mins,3 hrs 15 mins,6,6 servings,"['1 tablespoon vegetable oil', '1 small onion, chopped', '2 (10 ounce) packages frozen chopped broccoli, thawed', '2 (10.75 ounce) cans cream of celery soup', '1 (10.75 ounce) can condensed cream of mushroom soup', '1 cup shredded American cheese', '2 (10.75 ounce) cans milk']","['1   Heat vegetable oil in a large pot over medium heat; cook the onion in the hot oil until soft, 5 to 7 minutes.', '2   Drain as much liquid from the onion as possible. Transfer the drained onion to a slow cooker.', '3   Place the broccoli, cream of celery soup, cream of mushroom soup, American cheese, and milk into the slow cooker.', '4   Cook on Low until the broccoli is tender and the flavors meld, 3 to 4 hours.']",['Per Serving:  289 calories; protein 12.3g; carbohydrates 21.2g; fat 18.1g; cholesterol 39.2mg; sodium 1455.9mg.']
https://www.allrecipes.com/recipe/84270/slow-cooker-corned-beef-and-cabbage/,Slow-Cooker Corned Beef and Cabbage,15 mins,9 hrs,9 hrs 15 mins,8,8 servings,"['4 large carrots, peeled and cut into matchstick pieces', '10 baby red potatoes, quartered', '1 onion, peeled and cut into bite-sized pieces', '4 cups water', '1 (4 pound) corned beef brisket with spice packet', '6 ounces beer', '½ head cabbage, coarsely chopped']","['1   Place the carrots, potatoes, and onion into the bottom of a slow cooker, pour in the water, and place the brisket on top of the vegetables. Pour the beer over the brisket. Sprinkle on the spices from the packet, cover, and set the cooker on High.', '2   Cook the brisket for about 8 hours. An hour before serving, stir in the cabbage and cook for 1 more hour.']",['Per Serving:  473 calories; protein 23.6g; carbohydrates 49.5g; fat 19.6g; cholesterol 99.5mg; sodium 1280.6mg.']
https://www.allrecipes.com/recipe/16346/maries-easy-slow-cooker-pot-roast/,Marie's Easy Slow Cooker Pot Roast,40 mins,9 hrs,9 hrs 40 mins,8,6 to 8 servings,"['4 pounds chuck roast', 'salt and pepper to taste', '1 packet dry onion soup mix', '1 cup water', '3 carrots, chopped', '1 onion, chopped', '3 potatoes, peeled and cubed', '1 stalk celery, chopped']","['1   Season the roast with salt and pepper to taste. Brown on all sides in a large skillet over high heat, about 4 minutes per side.', '2   Place the roast in the slow cooker and add the soup mix, water, carrots, onion, potatoes, and celery.', '3   Cover and cook on Low setting for 8 to 10 hours.']",['Per Serving:  540 calories; protein 45.7g; carbohydrates 18.2g; fat 30.6g; cholesterol 147.4mg; sodium 271.9mg.']
https://www.allrecipes.com/recipe/269927/slow-cooker-pineapple-pulled-pork/,Slow Cooker Pineapple Pulled Pork,10 mins,8 hrs,8 hrs 10 mins,8,8 servings,"['1 (3 pound) boneless pork butt roast', '1 (20 ounce) can unsweetened crushed pineapple in 100% pineapple juice', '2 tablespoons minced garlic', '2 tablespoons ground cumin', '2 teaspoons kosher salt', '1 teaspoon red pepper flakes', '1 pinch freshly ground black pepper to taste']","['1   Place pork roast into a slow cooker. Combine crushed pineapple, garlic, cumin, salt, red pepper flakes, and pepper in a bowl. Pour over pork roast. Cover slow cooker.', '2   Cook on Low until pork roast is cooked through, about 8 hours. Remove pork roast from slow cooker, cut off any fat, and shred the meat using 2 forks. Return meat to the slow cooker and mix with the juices.']",['Per Serving:  222 calories; protein 19.8g; carbohydrates 12.1g; fat 10.5g; cholesterol 61mg; sodium 523.9mg.']
https://www.allrecipes.com/recipe/236609/honey-garlic-slow-cooker-chicken-thighs/,Honey-Garlic Slow Cooker Chicken Thighs,10 mins,6 hrs,6 hrs 10 mins,4,4 servings,"['4 skinless, boneless chicken thighs', '½ cup soy sauce', '½ cup ketchup', '⅓ cup honey', '3 cloves garlic, minced', '1 teaspoon dried basil']","['1   Lay chicken thighs into the bottom of a 4-quart slow cooker.', '2   Whisk soy sauce, ketchup, honey, garlic, and basil together in a bowl; pour over the chicken.', '3   Cook on Low for 6 hours.']",['Per Serving:  325 calories; protein 21.9g; carbohydrates 34.2g; fat 11.9g; cholesterol 70.9mg; sodium 2203.7mg.']
https://www.allrecipes.com/recipe/213073/slow-cooker-cocktail-smokies/,Slow Cooker Cocktail Smokies,5 mins,2 hrs,2 hrs 5 mins,10,10 servings,"['2 (16 ounce) packages miniature smoked sausage links', '1 (8 ounce) jar grape jelly', '1 (12 ounce) bottle barbeque sauce']","['1   Combine grape jelly and barbeque sauce in a slow cooker. Stir in the miniature smoked sausage links. Cook on High, until heated through, 2 to 3 hours.    Advertisement']",['Per Serving:  377 calories; protein 11.1g; carbohydrates 28.3g; fat 24.6g; cholesterol 56.4mg; sodium 1278.3mg.']
https://www.allrecipes.com/recipe/75861/amazing-pork-tenderloin-in-the-slow-cooker/,Amazing Pork Tenderloin in the Slow Cooker,15 mins,4 hrs,4 hrs 15 mins,6,6 servings,"['1 (2 pound) pork tenderloin', '1 (1 ounce) envelope dry onion soup mix', '1 cup water', '¾ cup red wine', '3 tablespoons minced garlic', '3 tablespoons soy sauce', 'freshly ground black pepper to taste']","['1   Place pork tenderloin in a slow cooker with the contents of the soup packet. Pour water, wine, and soy sauce over the top, turning the pork to coat. Carefully spread garlic over the pork, leaving as much on top of the roast during cooking as possible. Sprinkle with pepper, cover, and cook on low setting for 4 hours. Serve with cooking liquid on the side as au jus.    Advertisement']",['Per Serving:  180 calories; protein 24.5g; carbohydrates 5.8g; fat 3.7g; cholesterol 65.5mg; sodium 917.5mg.']
https://www.allrecipes.com/recipe/14670/easiest-pot-roast-ever/,Easiest Pot Roast Ever,10 mins,5 hrs,5 hrs 10 mins,6,6 servings,"['3 pounds beef roast', '6 potatoes', '1 ½ cups baby carrots', '1 yellow onion', '2 stalks celery', '3 cubes beef bouillon', '½ cup water']","['1   Cut up potatoes, onions, and celery in to fairly large chunks and place in a slow cooker. Put roast on top of vegetables. Place 3 bouillon cubes randomly on top of roast and pour in water.', '2   Cover, and cook on low for 6 to 8 hours or High for 4 to 5 hours.']",['Per Serving:  526 calories; protein 31.7g; carbohydrates 42.4g; fat 25.3g; cholesterol 103.2mg; sodium 547.4mg.']
https://www.allrecipes.com/recipe/274429/slow-cooker-teriyaki-chicken/,Slow Cooker Teriyaki Chicken,10 mins,4 hrs,4 hrs 10 mins,5,5 servings,"['1 cup chicken broth', '½ cup teriyaki sauce', '4 tablespoons brown sugar', '3 cloves garlic, minced', '1 pound chicken, diced']","['1   Combine chicken broth, teriyaki sauce, brown sugar, and garlic in a large bowl. Add chicken and toss with the sauce until well mixed. Pour into the slow cooker.', '2   Cook on Low until chicken is done, 4 to 6 hours.']",['Per Serving:  174 calories; protein 20.9g; carbohydrates 16g; fat 2.3g; cholesterol 52.9mg; sodium 1385mg.']
